时间,推力/kN,环境总压,环境总温/K,高压压缩机1st-4th stage出口压力,高压压缩机1st-4th stage出口温度,高压压缩机1st-4th stage压比,高压压缩机5th-6th stage出口压力,高压压缩机5th-6th stage出口温度,高压压缩机5th-6th stage压比,燃烧室燃油流量/g/s,高速轴转速/rev/min,高速轴转矩,低速轴转速rev/min,低速轴转矩,高压涡轮出口压力,高压涡轮出口温度,高压涡轮质量流率,高压涡轮机械功率,高压涡轮转速,低压涡轮出口压力,低压涡轮出口温度,低压涡轮质量流率,低压涡轮机械功率,低压涡轮转速,喷嘴喉道静压,喷嘴喉道静温,喷嘴喉道速度
52.1499999999992,96.0507638825196,1.01325,288.15,20.0390358712407,792.636871629342,4.6843557889813,38.2486311891792,965.669983678896,1.90870615906588,3700.0,19949.5754617579,12733.4022776663,34730.2943863869,4626.41291315385,14.5857111706212,2232.40464573047,51347.0309293332,-26601537.3329783,-19949.5754617579,4.79318076820001,1957.71516349684,54520.6084031145,-16826022.8371754,-34730.2943863869,2.50674400560793,1638.12699596397,772.858487685803
52.1999999999992,96.0507679152753,1.01325,288.15,20.0390369465735,792.636869114444,4.68435580727238,38.2486309313458,965.669960224602,1.90870604377452,3700.0,19949.57507362,12733.4017298548,34730.3160190536,4626.4063609623,14.5857119926934,2232.4046520266,51347.0307678748,-26601535.6709791,-19949.57507362,4.79318093186276,1957.71533807137,54520.6082610741,-16826009.4877069,-34730.3160190536,2.50674409261774,1638.12710735079,772.858513183052
52.2499999999992,96.0507718907337,1.01325,288.15,20.0390380103195,792.6368667875,4.68435582727388,38.2486306976832,965.669937435171,1.908705930793,3700.0,19949.5746943734,12733.4011807324,34730.3370876551,4626.3999619947,14.58571279906,2232.40465256159,51347.0306922783,-26601534.0180973,-19949.5746943734,4.79318109280748,1957.71550338972,54520.6082047641,-16825996.4222011,-34730.3370876551,2.50674417807363,1638.12721498711,772.858537632822
52.2999999999992,96.0507757450217,1.01325,288.15,20.0390390461051,792.636864540459,4.68435584622957,38.2486304670066,965.669915227755,1.90870582062371,3700.0,19949.5743249275,12733.4006600316,34730.3575440838,4626.39376062329,14.585713581606,2232.40465650566,51347.0305794327,-26601532.4376602,-19949.5743249275,4.7931812490667,1957.71566678061,54520.6081116509,-16825983.7787331,-34730.3575440838,2.50674426110577,1638.12732012996,772.858561630854
52.3499999999992,96.0507794908706,1.01325,288.15,20.0390400538769,792.636862269137,4.68435586502667,38.2486302419354,965.669893520352,1.90870571340245,3700.0,19949.5739642936,12733.400139332,34730.3774509051,4626.38771297739,14.5857143417066,2232.40465665247,51347.0305060686,-26601530.868976,-19949.5739642936,4.79318140070586,1957.71582265319,54520.608055923,-16825971.4280611,-34730.3774509051,2.50674434162151,1638.12742166824,772.858584690995
52.3999999999992,96.0507831235285,1.01325,288.15,20.0390410239565,792.636860091656,4.68435588213335,38.2486300179751,965.669872557195,1.90870560982679,3700.0,19949.5736163601,12733.399657963,34730.3968071599,4626.38185701108,14.5857150809321,2232.40466400327,51347.0303544621,-26601529.3993932,-19949.5736163601,4.7931815482105,1957.7159803137,54520.6079238485,-16825959.5077596,-34730.3968071599,2.50674442006438,1638.12752184244,772.858607667948
52.4499999999992,96.0507866183037,1.01325,288.15,20.0390419660372,792.636857908157,4.68435589769239,38.248629788874,965.669851995352,1.90870550866149,3700.0,19949.5732762279,12733.3991573513,34730.4156554471,4626.37612753925,14.5857157935006,2232.40466361556,51347.0302666208,-26601527.9000126,-19949.5732762279,4.79318168970124,1957.7161274982,54520.607849482,-16825947.8013932,-34730.4156554471,2.50674449518737,1638.12761757127,772.858629401795
52.4999999999992,96.0507900585911,1.01325,288.15,20.0390428955741,792.636855884239,4.68435591457152,38.2486295803886,965.669832041928,1.90870540971976,3700.0,19949.5729444281,12733.3986940998,34730.4339372363,4626.37058734714,14.5857164921973,2232.40466772224,51347.030157045,-26601526.4897927,-19949.5729444281,4.79318182921876,1957.7162740012,54520.6077576038,-16825936.5089549,-34730.4339372363,2.50674456933683,1638.12771160778,772.858650887302
52.5499999999992,96.0507933889779,1.01325,288.15,20.0390437893627,792.636853826295,4.68435593045556,38.2486293728007,965.669812657781,1.90870531422783,3700.0,19949.572623052,12733.3982315924,34730.4517344817,4626.36518493107,14.585717169549,2232.40466930853,51347.0300674788,-26601525.0950266,-19949.572623052,4.79318196414046,1957.7164145927,54520.6076835866,-16825925.482834,-34730.4517344817,2.5067446410012,1638.12780260276,772.858671598851
52.5999999999992,96.0507966242488,1.01325,288.15,20.0390446564602,792.636851892769,4.68435594526009,38.2486291690394,965.669793894759,1.90870522146917,3700.0,19949.5723118164,12733.39778467,34730.4690572581,4626.35993021392,14.585717828266,2232.40467196132,51347.0299661136,-26601523.7463412,-19949.5723118164,4.79318209528497,1957.71655239294,54520.6075970752,-16825914.7640025,-34730.4690572581,2.50674471067859,1638.12789135703,772.858691837422
